== REPORTE INVENTARIO BIO SALUD NATURAL SpA ==

CATALOGO
id,nombre,costo,precio,stock_actual
1,PULSERA CON 4 IMANES CON TRENSA DORADA,1840.00,4000.00,5.00
2,PULSERA DE COBRE ELEGANTE CON 10 IMANES,2790.00,5000.00,1.00
3,PULSERA CON 4 IMANES SENCILLA ELEGANTE,1689.00,4000.00,4.00
4,LABIAL ALOE VERA 12 UNIDADES POR CAJA,403.00,1000.00,24.00
5,LABIAL 99% ALOE VERA,909.00,3000.00,9.00
6,PULSERAS 6 IMANES  Y ANILLO 2 IMANES DE COBRE - CONJUNTO,1489.00,3000.00,19.00
9,PARCHES CON ESCENCIA DE HIERBAS 30 PIEZAS,83.00,333.00,60.00
11,PARCHES CON ESCENCIA DE HIERBAS 90 PIEZAS,73.00,333.00,90.00
12,PARCHES CON ESCENCIA DE HIERBAS 20 PIEZAS,141.00,333.00,20.00
14,SERUM FACIAL 5 EN 1 30 ML,1523.00,3000.00,12.00
16,SERUM VITAMINA C 50 ML,1768.00,5000.00,4.00
17,SERUM VITAMINA C 30 ML,1296.00,3000.00,2.00
18,KIT TOMA PRESIÓN,4010.00,7000.00,1.00
20,MUÑEQUERA PORTATIL 2X1 CALOR  Y VIBRACION COLOR GREY,8148.00,28000.00,4.00
21,FAJA SIMPLE CON 20 IMANES,3753.00,10000.00,3.00
22,CHALECO CON 98 IMANES,5914.00,20000.00,2.00
23,MUÑEQUERA ENCHUFADA SOLO 3 NIVELES DE CALOR,3419.00,10000.00,5.00
25,RODILLERAS CON 20 IMANES,6766.00,12000.00,2.00
26,MUÑEQUERA ELECTROESTIMULADORA CON CALOR AZUL,10821.00,12000.00,1.00
27,MUÑEQUERA ELECTROESTIMULADORA PANEL COLOR BLANCO,9962.00,12000.00,1.00
28,ELASTICO PARA REHABILITACION 5 DEDOS VERDE,1455.00,2000.00,1.00
29,ELASTICO PARA REHABILITACION 5 DEDOS NARANJO,1455.00,2910.00,1.00
31,MUÑEQUERA SILICONA CON 6 IMANES Y DEDO GORDO,2636.00,5000.00,4.00
33,RODILLERA COLOR NEGRO SOLO CALOR ENCHUFADA,3499.00,8500.00,1.00
39,PARCHES DE MOXA CUADRADAS,25.93,333.00,160.00
40,PAR DE GUANTES CALEFACTORES PORTATILES,6254.00,10000.00,1.00
42,CUELLERA PORTATIL CALOR Y VIBRACION,7734.00,20000.00,2.00
44,INCIENSO FRUTAS LARGA DURACIÓN - SRI SAI JUMBO CAJA 6 UNIDADES,1666.70,3000.00,12.00
45,INCIENSO NAG CHAMPA TRADICIONAL CAJA 12 UNIDADES,500.00,1500.00,12.00
46,JABONES - VARIEDADES,700.00,3000.00,15.00
47,GOTITAS DE YERBAS VARIEDADES,940.00,3000.00,25.00
48,CREMAS ANALGESICAS Y VARIEDADES DE HIERBAS,300.00,1000.00,86.00
50,RODILLO MASAJEADOR DE DEDOS Y MANO,1653.00,4000.00,1.00
57,MUÑEQUERA PORTATIL 2X1 CALOR  Y VIBRACION COLOR NEGRO,9210.00,28000.00,9.00
61,AROMA THERAPIA 10 ML,750.00,3000.00,12.00
62,LABIAL DE COCO NUTRICION Y HUMECTACION,1371.00,3000.00,2.00
67,CUELLERA PORTATIL CALOR Y VIBRACION GRIS,16911.00,30000.00,1.00
68,CALENTADOR DE MANOS PLATEADO,3551.00,7900.00,1.00
69,TABLERO PRONOSTICO PENDULO,3256.00,8000.00,1.00
70,ABRAZADERA MASAJEADOR DE PIERNAS VERDE,11935.00,20000.00,1.00

RESUMEN
valor_inventario,478861.20
valor_venta_potencial,1315200.00

MOVIMIENTOS
fecha,id_producto,entrada,salida
2025-04-07,1,5.00,0.00
2025-04-07,2,1.00,0.00
2025-04-07,3,4.00,0.00
2025-04-04,4,24.00,0.00
2025-04-04,5,4.00,0.00
2025-09-26,5,4.00,0.00
2025-10-21,5,1.00,0.00
2025-04-03,6,10.00,0.00
2025-03-10,6,7.00,0.00
2025-09-29,6,2.00,0.00
2025-03-30,7,4.00,0.00
2025-07-08,7,1.00,0.00
2025-03-30,8,2.00,0.00
2025-06-16,8,2.00,0.00
2025-07-08,8,2.00,0.00
2025-03-09,9,60.00,0.00
2025-03-09,10,20.00,0.00
2025-03-04,11,90.00,0.00
2025-01-16,12,20.00,0.00
2025-06-06,13,4.00,0.00
2025-09-07,13,3.00,0.00
2025-06-06,14,6.00,0.00
2025-09-07,14,6.00,0.00
2025-06-16,15,1.00,0.00
2025-06-23,16,4.00,0.00
2025-06-23,17,2.00,0.00
2025-06-26,18,1.00,0.00
2025-06-27,19,1.00,0.00
2025-07-08,19,2.00,0.00
2025-07-12,19,2.00,0.00
2025-07-12,19,2.00,0.00
2025-11-13,19,1.00,0.00
2025-06-27,20,1.00,0.00
2025-06-29,20,1.00,0.00
2025-08-29,20,1.00,0.00
2025-09-20,20,1.00,0.00
2025-06-27,21,1.00,0.00
2025-09-07,21,1.00,0.00
2025-09-08,21,1.00,0.00
2025-07-05,22,1.00,0.00
2025-07-22,22,1.00,0.00
2025-07-05,23,2.00,0.00
2025-07-14,23,2.00,0.00
2025-09-29,23,1.00,0.00
2025-07-06,24,1.00,0.00
2025-07-22,24,1.00,0.00
2025-08-10,24,1.00,0.00
2025-08-13,24,1.00,0.00
2025-08-16,24,1.00,0.00
2025-08-19,24,1.00,0.00
2025-10-06,24,1.00,0.00
2025-11-09,24,1.00,0.00
2025-11-11,24,1.00,0.00
2025-11-11,24,1.00,0.00
2025-11-14,24,1.00,0.00
2025-07-06,25,2.00,0.00
2025-07-07,26,1.00,0.00
2025-07-08,27,1.00,0.00
2025-07-09,28,1.00,0.00
2025-07-09,29,1.00,0.00
2025-07-09,30,1.00,0.00
2025-07-24,30,1.00,0.00
2025-07-25,30,1.00,0.00
2025-07-28,30,1.00,0.00
2025-08-03,30,1.00,0.00
2025-08-06,30,1.00,0.00
2025-08-18,30,1.00,0.00
2025-08-22,30,1.00,0.00
2025-08-29,30,1.00,0.00
2025-09-10,30,1.00,0.00
2025-09-10,30,1.00,0.00
2025-09-24,30,1.00,0.00
2025-10-06,30,1.00,0.00
2025-10-06,30,1.00,0.00
2025-10-16,30,1.00,0.00
2025-10-24,30,1.00,0.00
2025-10-26,30,1.00,0.00
2025-10-29,30,1.00,0.00
2025-11-09,30,1.00,0.00
2025-11-15,30,1.00,0.00
2025-07-10,31,4.00,0.00
2025-07-12,32,1.00,0.00
2025-07-14,33,1.00,0.00
2025-07-14,34,1.00,0.00
2025-10-07,34,1.00,0.00
2025-07-18,35,2.00,0.00
2025-10-04,35,1.00,0.00
2025-10-16,35,2.00,0.00
2025-10-20,35,1.00,0.00
2025-07-22,36,1.00,0.00
2025-10-04,36,1.00,0.00
2025-07-30,37,1.00,0.00
2025-07-31,38,1.00,0.00
2025-08-05,39,80.00,0.00
2025-10-22,39,80.00,0.00
2025-09-07,40,1.00,0.00
2025-08-26,41,1.00,0.00
2025-10-13,41,1.00,0.00
2025-09-02,42,1.00,0.00
2025-09-04,42,1.00,0.00
2025-09-07,43,40.00,0.00
2025-09-08,44,6.00,0.00
2025-11-12,44,6.00,0.00
2025-09-08,45,12.00,0.00
2025-09-08,46,8.00,0.00
2025-11-12,46,7.00,0.00
2025-11-17,47,25.00,0.00
2025-09-08,48,53.00,0.00
2025-11-12,48,33.00,0.00
2025-09-08,49,1.00,0.00
2025-09-08,50,1.00,0.00
2025-09-08,51,1.00,0.00
2025-09-08,52,2.00,0.00
2025-09-08,53,1.00,0.00
2025-09-09,54,1.00,0.00
2025-09-13,55,1.00,0.00
2025-09-18,56,1.00,0.00
2025-09-24,57,1.00,0.00
2025-09-29,57,1.00,0.00
2025-10-01,57,2.00,0.00
2025-10-02,57,1.00,0.00
2025-10-04,57,1.00,0.00
2025-10-06,57,1.00,0.00
2025-10-14,57,2.00,0.00
2025-09-26,58,9.00,0.00
2025-09-29,59,2.00,0.00
2025-10-12,60,1.00,0.00
2025-10-13,61,7.00,0.00
2025-11-12,61,5.00,0.00
2025-10-21,62,2.00,0.00
2025-10-21,63,1.00,0.00
2025-11-06,63,2.00,0.00
2025-11-03,64,1.00,0.00
2025-11-12,65,6.00,0.00
2025-11-09,66,1.00,0.00
2025-11-10,67,1.00,0.00
2025-11-10,68,1.00,0.00
2025-11-16,69,1.00,0.00
2025-11-16,70,1.00,0.00
